cycle,Green,SB,EBT,Total Cap
25,5,1556,857,2413
25,5,1646,858,2504
25,5,1543,835,2378
25,5,1553,853,2406
25,5,1604,847,2451
25,5,1590,859,2449
25,5,1535,855,2390
25,5,1554,853,2407
25,5,1581,839,2420
25,5,1604,853,2457
25,5,1569,851,2420
25,5,1560,861,2421
25,5,1550,853,2403
25,5,1588,838,2426
25,5,1561,855,2416
25,5,1580,853,2433
25,5,1595,852,2447
25,5,1560,859,2419
25,5,1569,839,2408
25,5,1544,851,2395
30,8,1590,787,2377
30,8,1644,799,2443
30,8,1632,783,2415
30,8,1602,778,2380
30,8,1656,771,2427
30,8,1624,776,2400
30,8,1608,778,2386
30,8,1646,776,2422
30,8,1621,771,2392
30,8,1659,799,2458
30,8,1621,771,2392
30,8,1626,780,2406
30,8,1656,768,2424
30,8,1622,784,2406
30,8,1644,769,2413
30,8,1661,797,2458
30,8,1633,778,2411
30,8,1660,775,2435
30,8,1663,786,2449
30,8,1641,774,2415
35,11,1592,819,2411
35,11,1613,804,2417
35,11,1588,811,2399
35,11,1604,825,2429
35,11,1641,814,2455
35,11,1637,813,2450
35,11,1619,826,2445
35,11,1589,831,2420
35,11,1580,811,2391
35,11,1672,823,2495
35,11,1621,819,2440
35,11,1609,821,2430
35,11,1605,833,2438
35,11,1605,811,2416
35,11,1611,809,2420
35,11,1598,826,2424
35,11,1594,826,2420
35,11,1643,829,2472
35,11,1611,828,2439
35,11,1600,817,2417
40,18,1626,763,2389
40,18,1640,767,2407
40,18,1647,759,2406
40,18,1612,768,2380
40,18,1620,758,2378
40,18,1640,765,2405
40,18,1583,768,2351
40,18,1641,755,2396
40,18,1629,765,2394
40,18,1616,762,2378
40,18,1645,765,2410
40,18,1649,757,2406
40,18,1619,755,2374
40,18,1618,770,2388
40,18,1611,750,2361
40,18,1622,767,2389
40,18,1611,772,2383
40,18,1664,766,2430
40,18,1625,760,2385
40,18,1587,762,2349
45,21,1561,754,2315
45,21,1619,767,2386
45,21,1583,759,2342
45,21,1600,759,2359
45,21,1612,762,2374
45,21,1602,762,2364
45,21,1585,761,2346
45,21,1579,765,2344
45,21,1602,763,2365
45,21,1603,770,2373
45,21,1618,770,2388
45,21,1570,759,2329
45,21,1571,759,2330
45,21,1608,770,2378
45,21,1587,752,2339
45,21,1612,761,2373
45,21,1588,767,2355
45,21,1609,759,2368
45,21,1620,756,2376
45,21,1562,764,2326
50,24,1551,725,2276
50,24,1602,732,2334
50,24,1572,738,2310
50,24,1583,737,2320
50,24,1582,732,2314
50,24,1589,746,2335
50,24,1589,735,2324
50,24,1558,734,2292
50,24,1579,737,2316
50,24,1633,740,2373
50,24,1592,747,2339
50,24,1563,737,2300
50,24,1579,734,2313
50,24,1558,741,2299
50,24,1573,735,2308
50,24,1580,745,2325
50,24,1578,744,2322
50,24,1597,739,2336
50,24,1553,743,2296
50,24,1557,730,2287
55,27,1530,773,2303
55,27,1559,776,2335
55,27,1535,777,2312
55,27,1594,765,2359
55,27,1563,770,2333
55,27,1590,766,2356
55,27,1562,765,2327
55,27,1550,774,2324
55,27,1526,759,2285
55,27,1590,773,2363
55,27,1562,761,2323
55,27,1587,770,2357
55,27,1553,766,2319
55,27,1575,777,2352
55,27,1535,764,2299
55,27,1562,767,2329
55,27,1564,776,2340
55,27,1571,767,2338
55,27,1562,761,2323
55,27,1509,773,2282
60,31,1550,754,2304
60,31,1606,744,2350
60,31,1577,751,2328
60,31,1586,745,2331
60,31,1552,755,2307
60,31,1577,750,2327
60,31,1581,756,2337
60,31,1568,752,2320
60,31,1558,751,2309
60,31,1559,757,2316
60,31,1599,747,2346
60,31,1565,758,2323
60,31,1561,749,2310
60,31,1602,748,2350
60,31,1553,751,2304
60,31,1618,752,2370
60,31,1553,748,2301
60,31,1504,756,2260
60,31,1586,750,2336
60,31,1550,758,2308
65,34,1544,798,2342
65,34,1538,791,2329
65,34,1554,777,2331
65,34,1531,789,2320
65,34,1578,788,2366
65,34,1585,785,2370
65,34,1541,795,2336
65,34,1565,789,2354
65,34,1527,788,2315
65,34,1558,790,2348
65,34,1543,793,2336
65,34,1523,789,2312
65,34,1533,794,2327
65,34,1545,789,2334
65,34,1563,793,2356
65,34,1561,783,2344
65,34,1535,793,2328
65,34,1521,794,2315
65,34,1553,792,2345
65,34,1530,796,2326
70,37,1499,781,2280
70,37,1534,783,2317
70,37,1549,781,2330
70,37,1553,779,2332
70,37,1511,782,2293
70,37,1520,775,2295
70,37,1513,778,2291
70,37,1533,782,2315
70,37,1531,775,2306
70,37,1542,779,2321
70,37,1554,780,2334
70,37,1507,781,2288
70,37,1505,782,2287
70,37,1523,781,2304
70,37,1566,787,2353
70,37,1526,778,2304
70,37,1563,782,2345
70,37,1534,782,2316
70,37,1538,777,2315
70,37,1515,783,2298
75,40,1489,762,2251
75,40,1489,753,2242
75,40,1503,759,2262
75,40,1499,763,2262
75,40,1489,763,2252
75,40,1515,756,2271
75,40,1499,760,2259
75,40,1506,759,2265
75,40,1481,759,2240
75,40,1549,756,2305
75,40,1507,765,2272
75,40,1495,755,2250
75,40,1505,759,2264
75,40,1510,752,2262
75,40,1517,757,2274
75,40,1522,755,2277
75,40,1523,757,2280
75,40,1522,760,2282
75,40,1539,755,2294
75,40,1495,757,2252
80,44,1504,748,2252
80,44,1553,746,2299
80,44,1562,748,2310
80,44,1546,745,2291
80,44,1571,744,2315
80,44,1551,742,2293
80,44,1556,743,2299
80,44,1552,744,2296
80,44,1539,744,2283
80,44,1507,744,2251
80,44,1568,744,2312
80,44,1545,740,2285
80,44,1536,743,2279
80,44,1545,744,2289
80,44,1556,746,2302
80,44,1577,739,2316
80,44,1564,742,2306
80,44,1540,749,2289
80,44,1525,747,2272
80,44,1533,742,2275
85,47,1479,751,2230
85,47,1491,744,2235
85,47,1493,742,2235
85,47,1539,751,2290
85,47,1506,755,2261
85,47,1506,744,2250
85,47,1485,754,2239
85,47,1522,748,2270
85,47,1474,750,2224
85,47,1487,752,2239
85,47,1514,747,2261
85,47,1491,749,2240
85,47,1502,751,2253
85,47,1517,753,2270
85,47,1494,753,2247
85,47,1509,753,2262
85,47,1518,747,2265
85,47,1507,756,2263
85,47,1532,751,2283
85,47,1505,750,2255
90,50,1498,741,2239
90,50,1559,747,2306
90,50,1529,740,2269
90,50,1551,745,2296
90,50,1536,745,2281
90,50,1548,741,2289
90,50,1558,749,2307
90,50,1532,740,2272
90,50,1512,748,2260
90,50,1517,745,2262
90,50,1570,747,2317
90,50,1523,743,2266
90,50,1536,746,2282
90,50,1531,743,2274
90,50,1564,745,2309
90,50,1531,743,2274
90,50,1553,741,2294
90,50,1535,745,2280
90,50,1569,747,2316
90,50,1513,743,2256
95,53,1492,756,2248
95,53,1519,760,2279
95,53,1533,751,2284
95,53,1548,761,2309
95,53,1566,757,2323
95,53,1519,751,2270
95,53,1521,759,2280
95,53,1494,756,2250
95,53,1515,755,2270
95,53,1518,760,2278
95,53,1557,756,2313
95,53,1535,754,2289
95,53,1529,757,2286
95,53,1527,754,2281
95,53,1527,755,2282
95,53,1545,755,2300
95,53,1500,757,2257
95,53,1552,759,2311
95,53,1524,755,2279
95,53,1524,757,2281
100,56,1480,737,2217
100,56,1519,736,2255
100,56,1512,737,2249
100,56,1503,736,2239
100,56,1524,737,2261
100,56,1485,737,2222
100,56,1511,739,2250
100,56,1513,733,2246
100,56,1502,735,2237
100,56,1509,738,2247
100,56,1552,737,2289
100,56,1495,736,2231
100,56,1505,740,2245
100,56,1495,733,2228
100,56,1519,735,2254
100,56,1517,733,2250
100,56,1492,739,2231
100,56,1495,737,2232
100,56,1514,743,2257
100,56,1480,739,2219
105,60,1490,732,2222
105,60,1497,737,2234
105,60,1483,733,2216
105,60,1500,733,2233
105,60,1501,732,2233
105,60,1474,729,2203
105,60,1505,741,2246
105,60,1483,733,2216
105,60,1479,733,2212
105,60,1450,735,2185
105,60,1519,735,2254
105,60,1477,732,2209
105,60,1489,736,2225
105,60,1473,729,2202
105,60,1498,737,2235
105,60,1498,733,2231
105,60,1506,733,2239
105,60,1467,732,2199
105,60,1501,733,2234
105,60,1478,737,2215
110,63,1498,738,2236
110,63,1500,742,2242
110,63,1490,735,2225
110,63,1515,740,2255
110,63,1508,735,2243
110,63,1496,737,2233
110,63,1509,741,2250
110,63,1479,737,2216
110,63,1501,737,2238
110,63,1490,737,2227
110,63,1532,742,2274
110,63,1515,735,2250
110,63,1486,739,2225
110,63,1485,734,2219
110,63,1503,740,2243
110,63,1537,735,2272
110,63,1492,735,2227
110,63,1490,737,2227
110,63,1512,737,2249
110,63,1485,736,2221
115,66,1439,730,2169
115,66,1518,729,2247
115,66,1518,729,2247
115,66,1509,729,2238
115,66,1529,731,2260
115,66,1486,730,2216
115,66,1503,735,2238
115,66,1486,729,2215
115,66,1504,727,2231
115,66,1509,731,2240
115,66,1548,731,2279
115,66,1500,730,2230
115,66,1528,733,2261
115,66,1504,731,2235
115,66,1509,733,2242
115,66,1514,733,2247
115,66,1518,731,2249
115,66,1509,733,2242
115,66,1525,732,2257
115,66,1491,728,2219
120,69,1499,734,2233
120,69,1506,734,2240
120,69,1509,732,2241
120,69,1509,733,2242
120,69,1528,734,2262
120,69,1514,725,2239
120,69,1474,735,2209
120,69,1490,733,2223
120,69,1495,729,2224
120,69,1510,732,2242
120,69,1489,735,2224
120,69,1499,730,2229
120,69,1468,733,2201
120,69,1506,729,2235
120,69,1511,738,2249
120,69,1480,731,2211
120,69,1518,728,2246
120,69,1465,733,2198
120,69,1489,733,2222
120,69,1501,727,2228
